word,count
NO.,14083
ACT,11867
AMENDMENT,4288
AND,2261
TAX,1681
LEGISLATION,1044
OF,989
TARIFF,659
APPROPRIATION,656
CUSTOMS,646
SALES,522
NO,487
AUSTRALIAN,482
GRANTS,459
INCOME,444
LEVY,443
STATES,435
ASSESSMENT,389
ASSISTANCE,386
SERVICES,383
NATIONAL,380
MEASURES,349
COMMONWEALTH,329
LAWS,328
INDUSTRY,324
EXPORT,308
HEALTH,303
EXCISE,276
SOCIAL,271
SUPPLY,266
SERVICE,263
BOUNTY,258
LOAN,257
EDUCATION,249
OTHER,233
SUPERANNUATION,233
NEW,226
CONSEQUENTIAL,222
AMENDMENTS,219
CHARGE,216
WORKS,208
SECURITY,205
THE,195
DEFENCE,194
INSURANCE,193
WOOL,187
TAXATION,185
PROVISIONS,184
AGREEMENT,179
TERRITORY,179
WAR,174
COMMISSION,173
INTERNATIONAL,173
DEVELOPMENT,166
VALIDATION,160
FINANCIAL,159
CHARGES,151
PUBLIC,144
PROTECTION,143
PENSIONS,141
RESEARCH,139
COLLECTION,134
PARLIAMENTARY,131
WHEAT,127
BROADCASTING,124
TRADE,124
PETROLEUM,123
MIGRATION,122
ADMINISTRATION,122
LAW,122
AUSTRALIA,118
GRANT,118
SUPPLEMENTARY,117
FEES,112
TRANSITIONAL,110
FOR,108
PREFERENCE,106
CAPITAL,105
BUILDINGS,105
TELECOMMUNICATIONS,104
REPEAL,103
BENEFITS,103
VETERANS,102
NORTHERN,102
FAMILY,100
AGREEMENTS,98
LAND,97
REPATRIATION,97
FUND,96
AFFAIRS,96
CORPORATION,94
SYSTEM,94
TO,94
A,91
ENERGY,90
TRANSPORT,90
DUTY,89
HOUSING,88
BUDGET,88
OVERSEAS,84
ELECTORAL,84
FRUITS,83
CRIMES,82
LICENCE,81
SPECIAL,81
DAIRY,81
PRIMARY,80
CONTRIBUTION,80
COMPENSATION,80
ALLOWANCES,80
ARBITRATION,80
INDUSTRIES,79
ABORIGINAL,79
AIR,76
MEAT,76
NAVIGATION,75
SUPPORT,74
AUTHORITY,74
LANDS,72
ADJUSTMENT,71
EXEMPTIONS,71
RATES,70
CORPORATIONS,69
CONTROL,69
TELEVISION,69
HIGHER,68
MISCELLANEOUS,68
REFORM,67
HOMES,66
GOVERNMENT,66
ZEALAND,66
CLASSIFICATIONS,65
LIVE-STOCK,64
REGISTRATION,63
CONCILIATION,63
GUINEA,60
WINE,60
COMMUNITY,60
PRODUCE,60
BANK,60
GUARANTEE,60
RETIREMENT,59
MARKETING,58
FISHERIES,58
STEVEDORING,58
IMPOSITION,57
OLD-AGE,57
COMPANIES,57
DEPARTMENTS,56
COAL,56
FUEL,56
APPLE,56
PEAR,55
CARE,55
COURT,55
RIGHTS,55
BUSINESS,55
STATE,55
DRIED,55
SCHOOLS,54
STABILIZATION,54
PAPUA,54
GOODS,53
EMPLOYEES,53
AVIATION,53
EMPLOYMENT,53
MEDICARE,52
LOANS,52
CRIMINAL,52
SLAUGHTER,52
SECURITIES,52
RELATIONS,52
INVALID,52
SEA,51
TRAINING,51
ACTS,51
SAFETY,50
FUNDING,50
STUDENTS,50
PRACTICES,49
SURVEY,48
PAYMENTS,47
UNIVERSITIES,47
APPLICATION,47
FORCES,47
RELIEF,45
SEAMENS,45
POST,45
TELEGRAPH,45
PRODUCTS,45
RESIDUE,44
REFERENDUM,44
FEDERAL,44
ROADS,44
FOREIGN,44
SUBMERGED,44
INSPECTION,43
FUNDS,43
SOUTH,43
INDUSTRIAL,43
RAILWAY,43
EQUIPMENT,43
ENVIRONMENT,42
CHILD,42
CODE,42
GAS,42
SUGAR,41
LEVIES,41
ROAD,41
AGRICULTURAL,40
OFFSHORE,40
REMUNERATION,40
AGED,40
PRIVATE,40
SUBSIDY,40
TRUST,39
OIL,39
BANKRUPTCY,39
STANDARDS,39
FURTHER,39
GENERAL,39
THERAPEUTIC,39
COUNCIL,39
SCHEME,39
TEMPORARY,38
SUPERVISORY,38
AIRLINES,38
SHIPPING,37
CATTLE,37
STRAIT,37
INDIGENOUS,37
STATUTE,37
JUDICIARY,36
ENTITLEMENTS,36
FORCE,36
PAY-ROLL,36
WAR-TIME,35
LIMITED,35
GREENHOUSE,34
HUNDRED,34
PATENTS,34
TERRITORIES,34
ANTI-DUMPING,34
MINISTERS,34
COMMITTEE,34
CANNED,34
ARRANGEMENTS,33
ADVANCED,33
TOBACCO,33
CONTRIBUTIONS,33
MARKET,33
WATER,33
MANAGEMENT,33
LIABILITY,33
SCIENCE,33
ISLAND,33
COMMUNICATIONS,32
EXCHANGE,32
ESTATE,32
RADIOCOMMUNICATIONS,32
WORKPLACE,32
REPRESENTATION,31
HONEY,31
CIVIL,31
COMPANY,31
HOME,31
CANADIAN,31
REVIEW,30
IMMIGRATION,30
MARITIME,30
CHEMICALS,30
IN,30
TASMANIA,30
QUEENSLAND,30
OFFICERS,29
PERSONAL,29
ORGANIZATION,29
NAVAL,29
EVIDENCE,29
INTERCEPTION,29
TERTIARY,29
PROMOTION,28
ACQUISITION,28
TORRES,28
PAYMENT,28
JUSTICE,28
UNITED,28
STUDENT,28
QANTAS,28
DEBT,28
QUARANTINE,28
WESTERN,27
COPYRIGHT,27
SEAT,27
CITIZENSHIP,27
MARINE,27
REGULATION,26
ADDITIONAL,26
LIFE,25
INTERPRETATION,25
VETERINARY,25
MEDICAL,25
AUDIT,25
ALTERATION,25
FORESTRY,25
INDEMNITY,25
PERSONS,25
CRIME,25
COTTON,25
DAIRYING,25
MARKS,25
SETTLEMENT,25
CLEAN,25
DIESEL,25
SUPREME,25
STATUTORY,24
AGENCY,24
STORAGE,24
TREATY,24
AIRWAYS,24
RIVER,24
TERMINATION,24
LEAVE,24
WORK,23
INFORMATION,23
BOARD,23
SOLDIERS,23
IMPLEMENTATION,23
TRANSFER,23
THOUSAND,23
STOCK,23
HUMAN,23
MINING,23
REDUCTION,23
HIGH,22
STATIONS,22
ISLANDER,22
AID,22
MATTERS,22
ACCOUNTS,21
CONSERVATION,21
CONTRIBUTORY,21
MONETARY,21
SECTOR,21
CONSTITUTION,21
FERTILIZERS,21
INVESTMENT,21
WITH,21
POLLUTION,21
ACCOUNT,21
DISCRIMINATION,21
UNIVERSITY,20
BANKING,20
ROYAL,20
FILM,20
ALLOWANCE,20
FINANCE,20
CONSUMER,20
FISHING,20
REVENUE,20
TECHNICAL,20
RAILWAYS,20
BANKS,20
BEEF,20
HERITAGE,20
INSTALLATIONS,19
VINE,19
RECONSTRUCTION,19
EMERGENCY,19
POLICE,19
FLOUR,19
OZONE,19
LONG,19
RURAL,19
PIG,19
PHARMACEUTICAL,19
EXTRADITION,19
NUCLEAR,19
SAVINGS,19
DROUGHT,19
LOCAL,19
INTELLIGENCE,18
REVISION,18
WATERS,18
NATIONALITY,18
VOCATIONAL,18
CONSOLIDATION,18
DESIGNS,18
POWERS,18
SALE,18
COMMISSIONER,18
SNOWY,18
RESOURCES,18
REHABILITATION,18
DEFICIT,18
INSCRIBED,17
YOUTH,17
INCENTIVES,17
SINKING,17
INTERIM,17
RENT,17
PROCESS,17
SHARING,17
TRUSTS,17
FAMILIES,17
ASIAN,17
GRAPES,17
JUDGES,17
RESOURCE,17
ON,17
ENFORCEMENT,17
ISLANDS,17
TECHNOLOGY,17
INSTITUTE,17
SALARIES,17
EXECUTION,17
WITHHOLDING,17
SHIPS,17
PROPERTY,16
FARM,16
PROCEEDINGS,16
CORPORATE,16
AUTHORITIES,16
IMMUNITIES,16
HORTICULTURAL,16
RELATED,16
FAIR,16
ABOLITION,16
OPPORTUNITY,16
HOUSEHOLD,16
PROHIBITION,16
SURCHARGE,16
INTEREST,16
INTERSTATE,16
REIMBURSEMENT,16
SECONDARY,16
ELECTRICITY,16
PROGRAM,16
MINERALS,16
EGG,16
RE-ESTABLISHMENT,16
REPAIR,16
JUDICIAL,15
ONE,15
OFF-SHORE,15
PENSION,15
ASSOCIATION,15
SEARCH,15
GIFT,15
MOUNTAINS,15
ADMINISTRATIVE,15
WALES,15
ENTERTAINMENTS,15
CENSUS,15
GOLD,15
JURISDICTION,15
NINE,15
STATISTICS,15
COMPLIANCE,14
ORGANISATION,14
TRADING,14
ACCESS,14
GAMES,14
OFFENCES,14
IMPORT,14
PARK,14
DISABILITY,14
DISTILLATION,14
POSTAL,14
DEATH,14
NOTIFICATION,14
NATIVE,14
PRIVILEGES,14
CHICKEN,14
MILITARY,14
WELFARE,14
SPORTS,14
DAY,14
TWO,14
AGRICULTURE,13
CARBON,13
AGENTS,13
RECOVERY,13
ACETATE,13
COMMISSIONS,13
WILDLIFE,13
PIPELINE,13
PRODUCT,13
PROVIDERS,13
FRUIT,13
INSTITUTIONS,13
GREAT,13
FLAKE,13
REEF,13
BARRIER,13
CELLULOSE,13
RESERVE,13
DISABILITYCARE,13
FROM,13
PORT,13
COASTAL,13
MURRAY,13
CONVERSION,13
YEAR,13
EQUAL,13
PEACE,13
PROCEDURE,13
OCCUPATIONAL,13
ANTARCTIC,13
RADIO,13
ACCEPTANCE,13
COMPUTER,13
COURTS,13
EXTENSION,13
PROCESSING,13
UNIT,13
GOVERNANCE,13
MOTOR,13
MEMBERS,13
TRACTOR,13
PURPOSES,13
TARGETED,13
POWER,12
FIRST,12
INDIVIDUALS,12
BOUNTIES,12
FRINGE,12
PRODUCTION,12
SUM,12
JUNE,12
DIGITAL,12
REGIONAL,12
CONSOLIDATED,12
DEPOSITS,12
REGULATORY,12
AIRPORTS,12
TRANSACTIONS,12
RETIRING,12
SPIRITS,12
COLLEGE,12
CURRENCY,12
OUT,12
THIRTIETH,12
APPLY,12
ALIENS,12
FEDERATION,12
CHRISTMAS,12
CAR,12
AN,12
ACCOUNTABILITY,12
POULTRY,12
SUPERVISION,12
RENEWABLE,12
ENDING,12
CONSTRUCTION,12
BEER,12
RAW,12
POUNDS,12
BY,12
CONVENTION,12
EQUITY,12
ARTS,11
AIRCRAFT,11
CHEMICAL,11
ATOMIC,11
MUTUAL,11
DEPARTURE,11
OWNERSHIP,11
VEHICLES,11
CANADA,11
QUALITY,11
PRESERVATION,11
FUTURES,11
INTEGRITY,11
WORLD,11
EMPIRE,11
EXCESS,11
NITROGENOUS,11
BUILDING,11
CANBERRA,11
EQUALIZATION,11
FUELS,11
FRAMEWORK,11
ROYALTY,11
ACID,11
TRANSACTION,11
ORGANISATIONS,11
STEEL,11
FARMERS,11
PRISONERS,11
PRECAUTIONS,11
FLOOD,11
TITLE,11
FREE,11
REBATE,11
INCREASES,11
EFFICIENCY,10
MILK,10
COMMERCIAL,10
PRIVACY,10
ELECTION,10
URBAN,10
FREIGHT,10
PERMIT,10
NORFOLK,10
WIRELESS,10
BORDER,10
GOLD-MINING,10
SULPHURIC,10
PRICES,10
APPEALS,10
DUTIES,10
SEX,10
FOOD,10
KINGDOM,10
PASSENGER,10
LUXURY,10
SYDNEY,10
DIPLOMATIC,10
DISEASE,10
PROFITS,10
VEHICLE,10
AUGUSTA,10
PHOSPHATE,10
AIRLINE,10
IMPORTS,10
BILLS,10
DISTRIBUTION,10
GRAIN,10
TRUSTEE,10
LABORATORIES,10
LIGHTHOUSES,10
TREASURY,10
ECONOMIC,10
ACIS,10
MARRIAGE,10
INDEPENDENT,10
TRIBUNALS,10
AUSTRALIANS,10
ENEMY,10
FURLOUGH,10
TRANSITION,10
TRACTORS,9
COMMERCE,9
HYDRO-ELECTRIC,9
ASSETS,9
MEASUREMENT,9
WORKING,9
PROFESSIONAL,9
CIVILIAN,9
BORROWING,9
TRANSMITTER,9
BASS,9
STRATEGIC,9
INCREASE,9
BUREAU,9
MATERNITY,9
PUBLICATIONS,9
WIRE,9
CREDIT,9
USE,9
REMOVAL,9
CHILDREN,9
TRIBUNAL,9
CLASSIFICATION,9
STATION,9
COLLEGES,9
TOURISM,9
SYNTHETIC,9
GOVERNOR-GENERAL,9
DEBITS,9
LIQUEFIED,9
ORDERS,9
FILMS,9
EXPORTS,9
PREVENTION,9
MANAGED,9
PROCESSED,9
EXEMPTION,9
SENATE,9
STEWARDSHIP,9
FREEDOM,9
RULES,9
TAXES,8
COMPLAINTS,8
CONTROLS,8
IMPROVEMENT,8
PAY,8
IRON,8
CARRIER,8
RECOGNITION,8
LIVING,8
RECOUPMENT,8
VICTORIA,8
CLAIMS,8
FLAX,8
BONUS,8
PATHOLOGY,8
NON-DISCLOSURE,8
TELEGRAPHY,8
MOVEMENT,8
URANIUM,8
WASTE,8
PARTICIPATION,8
ADVANCEMENT,8
PRODUCERS,8
SPORT,8
NON-RESIDENT,8
REGULATIONS,8
REPORTING,8
TEXTILE,8
ENCOURAGEMENT,8
PASSPORTS,8
YARN,8
BENEFICIARY,8
NATIONS,8
FOOTWEAR,8
CLOTHING,8
TEST,8
IMPROVED,8
PARLIAMENT,8
COMMUNICATION,8
REFUND,8
OBSERVATORY,8
RHODESIA,8
ASSISTANCE-PARTICIPATION,8
NATURAL,8
CENTRE,8
GROWERS,8
RESPONSE,8
REPORTS,8
ENGINEERING,7
MITIGATION,7
DUES,7
UNIVERSAL,7
COMPETITION,7
LEGISLATIVE,7
LEGAL,7
REPEALS,7
PENALTY,7
CAUSES,7
MEMORIAL,7
TRADEX,7
QUOTA,7
ADVANCES,7
ORGANIZATIONS,7
INTO,7
ACTIVITIES,7
OMBUDSMAN,7
RECORDS,7
PRUDENTIAL,7
NYASALAND,7
DATACASTING,7
CARRIERS,7
AAHC,7
COCOS,7
BIODIVERSITY,7
NETTING,7
PYRITES,7
KEELING,7
COPPER,7
HOUSE,7
UNEMPLOYMENT,7
PROCEEDS,7
DRUG,7
NURSING,7
INCORPORATION,7
SUBSCRIPTION,7
SAVER,7
RETAIL,7
STAMP,7
PLANT,7
ENDOWMENT,7
PERFORMANCE,7
RECEIPTS,7
MENTAL,7
CHOICE,7
REGULATOR,7
INVESTIGATION,7
SELF-GOVERNMENT,7
FOUR,7
SUSPENSION,7
TERRORISM,7
COLONIAL,7
BRANDY,7
SUBSTANCES,7
PARKS,7
LIGHT,7
GRAPE,7
ACCIDENTS,7
MATRIMONIAL,7
OFFICES,7
DAM,7
AGE,6
TIMBER,6
ANIMAL,6
FIDELITY,6
TESTING,6
TEACHING,6
TAKEOVERS,6
FRANCHISE,6
VISA,6
SKILLS,6
DECISIONS,6
SHARES,6
REVENUES,6
CERTAIN,6
VOTING,6
REALIZATION,6
CONTRACTS,6
COMMITMENTS,6
UNION,6
DECLARATION,6
DETERMINATION,6
CHEQUES,6
EXCHANGES,6
AMMONIA,6
EAST,6
SERIOUS,6
EQUALISATION,6
FIBRE,6
CREDITS,6
EXPLOSIVES,6
REGISTER,6
ALTERNATIVE,6
INSTRUMENTS,6
COUNTRIES,6
COSTS,6
TRANS-TASMAN,6
GAMBLING,6
WHALING,6
CARERS,6
CONCENTRATE,6
ELECTIONS,6
IMPROVEMENTS,6
DAMAGE,6
PROPOSALS,6
SMALL,6
LIQUID,6
HOSPITAL,6
DECIMAL,6
LEGUMES,6
INFRASTRUCTURE,6
NUMBER,6
FINANCING,6
CHANGES,6
TOURIST,6
AIRPORT,6
PURCHASE,6
ELECTRONIC,6
COVER,6
AUSTRALIAS,6
FUTURE,6
LABOUR,6
INDEXATION,6
DRUGS,6
PUBLICATION,6
RACIAL,6
NETWORK,6
RATE,6
FEE-HELP,6
SHALE,6
SULPHATE,6
REQUIREMENTS,6
DIVIDENDS,6
GST,6
PLANNING,6
ONE-OFF,6
DISCLOSURE,6
FOREST,6
RECEIVER,6
SELF,6
ASSOCIATIONS,5
TRAFFIC,5
PACIFIC,5
ASSURANCE,5
PEOPLE,5
PAPERS,5
LEARNING,5
INDIRECT,5
WIDOWS,5
PLACES,5
AREA,5
INTELLECTUAL,5
OILSEEDS,5
GRAINS,5
DELIVERED,5
HOSTELS,5
REGION,5
LABELLING,5
CONVENTIONS,5
BRITISH,5
MISUSE,5
OILS,5
BASIN,5
PROSPECTING,5
SCHEMES,5
WINDFALL,5
ACCOMMODATION,5
DEER,5
JERVIS,5
WORKFORCE,5
MAGISTRATES,5
MARKETABLE,5
COST,5
SEAFARERS,5
MEALS,5
MUSEUM,5
BAY,5
DENTAL,5
SOUTHERN,5
CARGO,5
CONTINENTAL,5
ALUMINIUM,5
AMOUNTS,5
DEBTS,5
SAFEGUARDS,5
LAYING,5
ZONE,5
AUTHORISED,5
CONSEQUENTIALS,5
TRANSFERRED,5
PARTNERSHIPS,5
TRADESMENS,5
POLICY,5
ADVERTISING,5
ARRANGEMENT,5
RESTRICTION,5
LABOURERS,5
NUMBERING,5
ASHMORE,5
STRONGER,5
VET,5
PAPER,5
DIRECTOR,5
TREATMENT,5
FORMER,5
THROUGH,5
SIMPLIFICATION,5
SHORTFALL,5
EGGS,5
JOBS,5
LICENCES,5
OFFICE,5
FAR,5
THREE,5
GAINS,5
NON-PROLIFERATION,5
STOCKTAKE,5
RAYON,5
DESCRIPTIONS,5
NET,5
BEVERAGES,5
PRAWN,5
IRRIGATION,5
SANCTIONS,5
TEACHERS,5
WOMEN,5
TIMOR,5
GRATUITY,5
ESTABLISHMENT,5
DECLARATIONS,5
SURPLUS,5
DUMPING,5
ANNUITY,5
FRANKING,5
MODERNISATION,5
DEFICIENCY,5
NAURU,5
SHELF,5
WEIGHTS,5
TAFE,5
KALGOORLIE,5
ALCOHOLIC,5
CONSULAR,5
RADIATION,5
FAIRER,5
CONCESSIONAL,5
DEMAND,4
GUARDIANSHIP,4
MANUFACTURE,4
MONEY,4
SYSTEMS,4
EXPENDITURE,4
SIMPLIFIED,4
BEARER,4
SOLDERS,4
REFORMS,4
FUNCTIONS,4
TERRORIST,4
MINES,4
COMPULSORY,4
HORSE,4
SHIP,4
PHARMACY,4
SULPHUR,4
BRIGALOW,4
LIVE,4
IMPOSITION--GENERAL,4
CULTURAL,4
BARLEY,4
PENSIONERS,4
TELSTRA,4
SKINS,4
IMPOSITION--EXCISE,4
PROVISIONAL,4
COUNCILS,4
GREATER,4
WODONGA,4
METAL,4
INSOLVENCY,4
MEMBERSHIP,4
CHARTER,4
FLAGS,4
GENE,4
NAMES,4
ANTI-TERRORISM,4
COMPONENT,4
TOGETHER--ACHIEVEMENT,4
ENVIRONMENTAL,4
PENALTIES,4
SCHOOL,4
NOTES,4
PROCEDURES,4
ACHIEVING,4
CASH,4
SOFTWOOD,4
HOMELESS,4
ENHANCEMENT,4
CONDENSATE,4
RADIOACTIVE,4
PROTECTED,4
PRICING,4
DISABLED,4
PRODUCTIVITY,4
AUTOMOTIVE,4
SEXUAL,4
TRANSMISSION,4
FLEXIBILITY,4
MINISTER,4
PRICE,4
WORKERS,4
BONDS,4
ACTION,4
PRIME,4
JURY,4
FIREARMS,4
RABBIT,4
MOUNT,4
REPRESENTATIVES,4
DATA,4
CABLE,4
INCENTIVE,4
BUTTER,4
UNDERWRITING,4
LIABILITIES,4
ANTI-DOPING,4
LOW,4
JOINT,4
CARTIER,4
PROVISION,4
CABINET,4
NEEDS,4
HEN,4
DEDUCTION,4
IMPROVING,4
DIAGNOSTIC,4
IMAGES,4
ALBURY,4
UNCLAIMED,4
MACHINES,4
GUARANTEES,4
GALLERY,4
BOOK,4
BOND,4
DOMESTIC,4
MACHINERY,4
CANDIDATES,4
NARCOTIC,4
DETENTION,4
HANDICAPPED,4
COARSE,4
INTER-STATE,4
LOSS,4
CREEK,4
INSPECTOR-GENERAL,4
UNPAID,4
PROGRAMS,4
BRISBANE,4
SMUGGLING,4
PROSECUTIONS,4
IMAGING,4
ESTATES,4
SERUM,4
SUNRISE,4
LICENSED,4
TASMANIAN,4
INQUIRY,4
WEEKLY,4
CHARITIES,4
DEBENTURES,4
PARENTAL,4
SUPPORTED,4
MODIFICATION,4
INDICIA,4
VENTURE,4
PARENTING,4
CLOSE,4
RESIDENCES,4
IMPOSITION--CUSTOMS,4
HYDRO,4
ORGANISED,4
SPACE,4
WEAPONS,4
PLAN,4
MODIFICATIONS,3
AUTOMATIC,3
ANNUAL,3
FRANCS,3
FEES-IMPORTS,3
NOT,3
FORENSIC,3
AVERAGE,3
DATA-MATCHING,3
OWNERS,3
OBLIGATIONS,3
CALL,3
ISSUE,3
HOSPITALS,3
UNLAWFUL,3
ALLIGATOR,3
STYLE,3
PRIMAGE,3
TELESCOPE,3
SHARE,3
VISAS,3
RE-EXPORTS,3
MOBILE,3
BORROWINGS,3
CORPORATISATION,3
DANGEROUS,3
MCDONALD,3
BRIDGE,3
PARTICIPANTS,3
DISTRIBUTIONS,3
CANCELLATION,3
DELIVERY,3
CANE,3
TUBERCULOSIS,3
CO-CONTRIBUTION,3
PERSONNEL,3
DEFERRAL,3
GENEVA,3
NON-CONCESSIONAL,3
CERTIFICATE,3
EDIBLE,3
APPOINTMENT,3
SHAREHOLDINGS,3
BICENTENNIAL,3
NATION,3
JUSTICES,3
LOADING,3
BUILDERS,3
REQUEST,3
PAID,3
MAIN,3
ARRIVALS,3
RENEWAL,3
COUNTER-TERRORISM,3
HARBOUR,3
REWRITE,3
OLYMPIC,3
JUSTIFICATION,3
ESS,3
FERTILIZER,3
BOATS,3
ADVICE,3
HIDE,3
CONFIDENTIALITY,3
CAPE,3
PANEL,3
ORANGE,3
AMERICA,3
BUFFALO,3
AUSTRALIA-INDONESIA,3
UNDERTAKINGS,3
AGAINST,3
OLDER,3
CENTRES,3
INTERACTIVE,3
LAKE,3
ALCOHOL,3
EIGHT,3
UNTAINTING,3
PIPELINES,3
UREA,3
CONCESSION,3
SUBMARINE,3
HORTICULTURE,3
SOLAR,3
SHELTERED,3
DO,3
ARCHIVES,3
CARRIAGE,3
FEES-MANUFACTURE,3
INSIGNIA,3
PRACTITIONERS,3
POLYESTER,3
RHODESIAN,3
MULTICULTURAL,3
TFN,3
CARDS,3
CO-OPERATIVE,3
CANNING-FRUIT,3
ANTI-MONEY,3
ALICE,3
COMMONWEALTH-STATE,3
ROLL-OVER,3
TESTS,3
STRENGTHENING,3
DRILLING,3
AUSCHECK,3
ORIGIN,3
HARMONIZED,3
STAFFING,3
POLITICAL,3
BENEFIT,3
SUPPLIES,3
DWELLINGS,3
CPI,3
CHILDRENS,3
MIDWIFE,3
MEDIA,3
VESSEL,3
IDENTITY,3
IMPOSITION-EXCISE,3
EXPLORATION,3
ANGLO-AUSTRALIAN,3
CONTROLLED,3
EXTENDED,3
STREAMLINING,3
PEARL,3
UNTAXED,3
QUOTAS,3
STANDARDIZATION,3
BOOKS,3
PRE-SCHOOL,3
TRAFFICKING,3
SPRINGS,3
CIRCUIT,3
PER-TONNE,3
CYCLONE,3
NOISE,3
DARWIN,3
IMPACT,3
NORTH,3
FEES:,3
FRUIT-GROWING,3
TRANSFERS,3
SPECTRUM,3
APPRENTICES,3
INVESTMENTS,3
ANL,3
METEOROLOGY,3
INITIATIVE,3
STRATEGY,3
ENTERTAINMENT,3
IDENTIFIERS,3
SWISS,3
FAT,3
CONDUCT,3
PLANS,3
AFFIRMATIVE,3
CONSENT,3
ISLANDERS,3
SCREEN,3
ORDINANCES,3
HEARING,3
OR,3
STUDIES,3
IMPOSITION-CUSTOMS,3
RETENTION,3
POOLED,3
AT,3
DEPARTING,3
AUSLINK,3
ENHANCED,3
PROTECTIVE,3
PERIOD,3
SEAS,3
REDEPLOYMENT,3
TUITION,3
CLEANER,3
CODES,3
RECIPIENTS,3
IMPOSITION-GENERAL,3
HEARD,3
LAUNDERING,3
DEVICES,3
